Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Aetna Inc Hartford,100.0,2003,,,0
American Airlines AMR Corp Dallas Fort Worth Airport,100.0,2003,,,0
Apple Computer Inc Cupertino,100.0,2003,,,0
Avaya Inc Basking Ridge,100.0,2003,,,0
Bank One Corp Chicago,100.0,2003,,,0
Capital One Financial Corp Falls Church,100.0,2003,,,0
Eastman Kodak Rochester,100.0,2003,,,0
Hewlett Packard Palo Alto,100.0,2003,,,0
IBM International Business Machines Corp Armonk,100.0,2003,459200101,"IBM (International Business Machines Corp.), Armonk, NY",91
Intel Corp Santa Clara,100.0,2003,,,0
Morgan Chase New York,100.0,2003,,,0
Lehman Brothers Holdings New York,100.0,2003,,,0
Levi Strauss San Francisco,100.0,2003,,,0
Lucent Technologies Inc Murray Hill,100.0,2003,,,0
MetLife Metropolitan Life Insurance New York,100.0,2003,59156R108,"MetLife (Metropolitan Life Insurance), New York, NY",89
NCR Corp Dayton,100.0,2003,,,0
Nike Inc Beaverton,100.0,2003,,,0
PGE Corp San Francisco,100.0,2003,,,0
Prudential Financial Inc Newark,100.0,2003,744320102,"Prudential Financial Inc., Newark, NJ",85
Johnson Son Inc Racine,100.0,2003,,,0
Xerox Corp Stamford,100.0,2003,,,0
Agilent Technologies Inc Palo Alto,86.0,2003,,,0
Allstate The Allstate Corp Northbrook,86.0,2003,,,0
American Express New York,86.0,2003,,,0
AOL Time Warner Inc New York,86.0,2003,,,0
ATT Corp New York,86.0,2003,,,0
Bank America Corp Charlotte,86.0,2003,,,0
BellSouth Corp Atlanta,86.0,2003,,,0
Boeing The Boeing Seattle,86.0,2003,,,0
Booz Allen Hamilton Inc McLean,86.0,2003,,,0
Borders Group Inc Ann Arbor,86.0,2003,,,0
Cargill Inc Minneapolis,86.0,2003,,,0
Cendant Corp New York,86.0,2003,,,0
Charles Schwab The Charles Schwab Corp San Francisco,86.0,2003,,,0
ChevronTexaco Corp San Ramon,86.0,2003,,,0
Chubb Corp Warren,86.0,2003,,,0
Cigna Corp Philadelphia,86.0,2003,,,0
Cisco Systems San Jose,86.0,2003,,,0
Citigroup Inc New York,86.0,2003,,,0
Continental Airlines Houston,86.0,2003,,,0
Coors Brewing Adolph Coors Golden,86.0,2003,60871R209,"Coors Brewing (Adolph Coors Co.)*, Golden, CO",88
Darden Restaurants Orlando,86.0,2003,,,0
Dow Chemical Midland,86.0,2003,,,0
Electronic Data Systems Corp EDS Plano,86.0,2003,285661104,"Electronic Data Systems Corp. (EDS), Plano, TX",90
Fannie Mae Washington,86.0,2003,,,0
Federated Department Stores Cincinnati,86.0,2003,,,0
FleetBoston Financial Corp Boston,86.0,2003,339030108,"FleetBoston Financial Corp., Boston, MA",86
Ford Motor Dearborn,86.0,2003,,,0
Gannett Inc Arlington,86.0,2003,,,0
General Electric Fairfield,86.0,2003,,,0
General Mills Inc Minneapolis,86.0,2003,,,0
General Motors Corp Detroit,86.0,2003,,,0
Gillette The Boston,86.0,2003,,,0
Goldman Sachs Investment Banking New York,86.0,2003,,,0
Hartford Financial Services Hartford,86.0,2003,,,0
Honeywell International Inc Morristown,86.0,2003,,,0
Hyatt Hotels Corp Group Holding Chicago,86.0,2003,448579102,"Hyatt Hotels Corp. (H Group Holding), Chicago, IL",87
International Paper Purchase,86.0,2003,,,0
John Hancock Financial Services Inc Boston,86.0,2003,41014S106,"John Hancock Financial Services Inc., Boston, MA",90
Lexmark International Inc Lexington,86.0,2003,,,0
Limited Brands Inc Columbus,86.0,2003,,,0
Lincoln National Corp Philadelphia,86.0,2003,,,0
McGraw Hill The McGraw Hill Companies Inc New York,86.0,2003,,,0
McKinsey Inc New York,86.0,2003,,,0
Mellon Financial Corp Pittsburgh,86.0,2003,,,0
Merck Inc Whitehouse Station,86.0,2003,,,0
Merrill Lynch New York,86.0,2003,,,0
Microsoft Corp Redmond,86.0,2003,,,0
Morgan Stanley New York,86.0,2003,,,0
Motorola Inc Schaumburg,86.0,2003,,,0
Nationwide Columbus,86.0,2003,,,0
New York Times New York,86.0,2003,,,0
Nordstrom Inc Seattle,86.0,2003,,,0
Pfizer Inc New York,86.0,2003,,,0
Polaroid Corp Cambridge,86.0,2003,,,0
PricewaterhouseCoopers New York,86.0,2003,,,0
Procter Gamble The Procter Gamble Cincinnati,86.0,2003,742718109,"Procter & Gamble (The Procter & Gamble Co.), Cincinnati, OH",86
Quest Diagnostics Teterboro,86.0,2003,,,0
Qwest Communications International Inc Englewood,86.0,2003,749121109,"Qwest Communications International Inc., Denver, CO",87
Raytheon Lexington,86.0,2003,,,0
Reynolds Tobacco Winston Salem,86.0,2003,,,0
SAFECO Corp Seattle,86.0,2003,,,0
SBC Communications Inc San Antonio,86.0,2003,,,0
Schering Plough Corp Madison,86.0,2003,,,0
Sears Roebuck and Hoffman Estates,86.0,2003,,,0
Sempra Energy San Diego,86.0,2003,,,0
SLM Corp Sallie Mae Reston,86.0,2003,,,0
Paul Companies Paul,86.0,2003,,,0
Starbucks Corp Seattle,86.0,2003,,,0
Starwood Hotels Resorts Worldwide White Plains,86.0,2003,,,0
Sun Microsystems Palo Alto,86.0,2003,,,0
Target Corp Minneapolis,86.0,2003,,,0
Texas Instruments Inc Dallas,86.0,2003,,,0
Unisys Corp Blue Bell,86.0,2003,,,0
United Airlines UAL Corp Elk Grove,86.0,2003,,,0
Airways Group Arlington,86.0,2003,,,0
Bancorp Minneapolis,86.0,2003,,,0
Verizon Communications New York,86.0,2003,,,0
Visteon Corp Dearborn,86.0,2003,,,0
Wachovia Corp Charlotte,86.0,2003,,,0
Walgreen Deerfield,86.0,2003,,,0
Walt Disney Burbank,86.0,2003,,,0
Washington Mutual Savings Bank Seattle,86.0,2003,939334100,"Washington Mutual Savings Bank, Seattle, WA",88
Wellpoint Health Networks Thousand Oaks,86.0,2003,,,0
Wells Fargo San Francisco,86.0,2003,,,0
Xcel Energy Minneapolis,86.0,2003,,,0
Anheuser Busch Louis,79.0,2003,,,0
Calpine Corp San Jose,79.0,2003,,,0
Colgate Palmolive New York,79.0,2003,,,0
Ernst Young New York,79.0,2003,,,0
Northrop Grumman Corp Los Angeles,79.0,2003,,,0
Reebok International Stoughton,79.0,2003,,,0
UnumProvident Corp Portland,79.0,2003,,,0
Abbott Laboratories Abbot Park,71.0,2003,,,0
Air Products Chemicals Inc Allentown,71.0,2003,,,0
Amazon com Seattle,71.0,2003,,,0
Amgen Inc Thousand Oaks,71.0,2003,,,0
Applied Materials Inc Santa Clara,71.0,2003,,,0
Bristol Myers Squibb New York,71.0,2003,,,0
Campbell Soup Camden,71.0,2003,,,0
Cinergy Corp Cincinnati,71.0,2003,,,0
Coca Cola The Coca Cola Atlanta,71.0,2003,191216100,"Coca-Cola (The Coca-Cola Co.), Atlanta, GA",85
Consolidated Edison New York,71.0,2003,,,0
Cummins Inc Columbus,71.0,2003,,,0
Dell Computer Corp Austin,71.0,2003,,,0
Delphi Automotive Troy,71.0,2003,247128101,"Delphi Automotive, Troy, MI",87
Delta Airlines Inc Atlanta,71.0,2003,,,0
Dole Food Inc Westlake Village,71.0,2003,,,0
DTE Energy Detroit,71.0,2003,,,0
Duke Energy Charlotte,71.0,2003,,,0
Edison International Rosemead,71.0,2003,,,0
Eli Lilly Indianapolis,71.0,2003,,,0
Freddie Mac McLean,71.0,2003,,,0
Gateway Inc North Sioux City,71.0,2003,,,0
Georgia Pacific Atlanta,71.0,2003,,,0
Interpublic Group Companies Inc New York,71.0,2003,460690100,"Interpublic Group of Companies Inc., New York, NY",87
Johnson Johnson New Brunswick,71.0,2003,,,0
Kellogg Battle Creek,71.0,2003,,,0
Kimberly Clark Dallas,71.0,2003,,,0
Lockheed Martin Corp Bethesda,71.0,2003,,,0
Northeast Utilities System Berlin,71.0,2003,,,0
Northwest Airlines Corp Eagan,71.0,2003,667280408,"Northwest Airlines Corp., Eagan, MN",86
Oracle Corp Redwood Shores,71.0,2003,,,0
PepsiCo Inc Purchase,71.0,2003,,,0
Pitney Bowes Inc Stamford,71.0,2003,,,0
PPG Industries Pittsburgh,71.0,2003,,,0
Principal Financial Group Des Moines,71.0,2003,,,0
Providian Financial Corp San Francisco,71.0,2003,,,0
QUALCOMM Inc San Diego,71.0,2003,,,0
Ryder System Inc Miami,71.0,2003,,,0
Sara Lee Corp Chicago,71.0,2003,,,0
SunTrust Banks Inc Atlanta,71.0,2003,,,0
Supervalu Eden Prairie,71.0,2003,,,0
Tech Data Corp Clearwater,71.0,2003,,,0
Viacom Inc New York,71.0,2003,,,0
Whirlpool Corp Benton Harbor,71.0,2003,,,0
Baxter International Inc Deerfield,64.0,2003,,,0
ConocoPhillips Houston,64.0,2003,,,0
Deere Moline,64.0,2003,,,0
Illinois Tool Works Inc Glenview,64.0,2003,,,0
PNC Financial Services Group Inc Pittsburgh,64.0,2003,693475105,"PNC Financial Services Group Inc., The, Pittsburgh, PA",87
Allegheny Energy Hagerstown,57.0,2003,,,0
Altria Group Inc Philip Morris Companies Inc New York,57.0,2003,02209S103,"Altria Group Inc. (Philip Morris Companies Inc.), New York, NY",89
Avon Products New York,57.0,2003,,,0
Barnes Noble Inc New York,57.0,2003,,,0
Caterpillar Peoria,57.0,2003,,,0
Clorox Oakland,57.0,2003,,,0
DPR Construction Redwood City,57.0,2003,,,0
EMC Corp Hopkinton,57.0,2003,,,0
Estee Lauder Companies New York,57.0,2003,,,0
Gap Inc San Francisco,57.0,2003,,,0
General Dynamics Corp Falls Church,57.0,2003,,,0
Hallmark Cards Inc Kansas City,57.0,2003,,,0
Health Net Inc Woodland Hills,57.0,2003,,,0
Hilton Hotels Corp Beverly Hills,57.0,2003,,,0
Home Depot Atlanta,57.0,2003,,,0
Host Marriott Bethesda,57.0,2003,,,0
Penney Corp Inc Plano,57.0,2003,,,0
Kmart Corp Troy,57.0,2003,,,0
Kroger The Cincinnati,57.0,2003,,,0
Liz Claiborne Inc New York,57.0,2003,,,0
MassMutual Life Insurance Springfield,57.0,2003,,,0
Mattel Inc Segundo,57.0,2003,,,0
MBNA Corp Wilmington,57.0,2003,,,0
McDonald’ Corp Oakbrook,57.0,2003,,,0
Navistar International Warrenville,57.0,2003,,,0
Nextel Communications Reston,57.0,2003,65332V103,"Nextel Communications, Reston, VA",86
Owens Corning Toledo,57.0,2003,,,0
PPL Corp Allentown,57.0,2003,,,0
Progressive The Progressive Corp Mayfield Village,57.0,2003,,,0
Safeway Inc Oakland,57.0,2003,,,0
Software House International Somerset,57.0,2003,,,0
Williams Companies Inc Tulsa,57.0,2003,,,0
Pathmark Stores Inc Woodbridge,50.0,2003,,,0
Anthem Indianapolis,43.0,2003,,,0
AutoZone Inc Memphis,43.0,2003,,,0
Avnet Inc Great Neck,43.0,2003,,,0
Carlson Companies Inc Minneapolis,43.0,2003,,,0
Coca Cola Enterprises Atlanta,43.0,2003,,,0
Costco Wholesale Corp Issaquah,43.0,2003,,,0
Dana Corp Toledo,43.0,2003,,,0
Butt Grocery San Antonio,43.0,2003,,,0
Humana Inc Louisville,43.0,2003,,,0
Home Los Angeles,43.0,2003,,,0
Marriott International Bethesda,43.0,2003,,,0
Marsh McLennan New York,43.0,2003,,,0
Office Depot Inc Delray Beach,43.0,2003,,,0
Omnicom Group New York,43.0,2003,,,0
PacifiCare Health Systems Santa Ana,43.0,2003,,,0
Seagate Technology Inc Scotts Valley,43.0,2003,,,0
Southwest Airlines Dallas,43.0,2003,,,0
State Farm Group Bloomington,43.0,2003,,,0
Toys “” Inc Framingham,43.0,2003,,,0
Vertis Baltimore,43.0,2003,,,0
Wal Mart Stores Inc Bentonville,43.0,2003,,,0
AIG American International Group New York,29.0,2003,22673Q102,"AIG (American International Group), New York, NY",88
Albertson’ Inc Boise,29.0,2003,,,0
Archer Daniels Midland Decatur,29.0,2003,039483102,"Archer Daniels Midland Co., Chicago, IL",85
Automatic Data Processing Inc Roseland,29.0,2003,053015103,"Automatic Data Processing Inc., Roseland, NJ",85
Bank New York New York,29.0,2003,,,0
Bethlehem Steel Corp Bethlehem,29.0,2003,,,0
Circuit City Stores Inc Richmond,29.0,2003,,,0
Emerson Electric Louis,29.0,2003,,,0
FedEx Corp Memphis,29.0,2003,,,0
Genuine Parts Atlanta,29.0,2003,,,0
Heinz Pittsburgh,29.0,2003,,,0
Harrah’ Entertainment Inc Las Vegas,29.0,2003,,,0
Hormel Foods Corp Austin,29.0,2003,,,0
Lear Corp Southfield,29.0,2003,,,0
May Department Stores The Louis,29.0,2003,577778103,"May Department Stores Co., The, St. Louis, MO",85
Maytag Corp North Newton,29.0,2003,,,0
MeadWestvaco Corp Stamford,29.0,2003,,,0
New York Life Insurance New York,29.0,2003,,,0
Newell Rubbermaid Inc Freeport,29.0,2003,,,0
Donnelley Sons Chicago,29.0,2003,,,0
RadioShack Corp Fort Worth,29.0,2003,,,0
Rite Aid Corp Camp Hill,29.0,2003,,,0
Rohm Haas Philadelphia,29.0,2003,,,0
Sprint Corp Overland Park,29.0,2003,,,0
Staples Inc Westborough,29.0,2003,,,0
TIAA CREF New York,29.0,2003,,,0
United Parcel Service UPS Atlanta,29.0,2003,911312106,"United Parcel Service Inc. (UPS), Atlanta, GA",86
Wyeth Madison,29.0,2003,,,0
Aramark Corp Philadelphia,14.0,2003,,,0
Domino' Inc Ann Arbor,14.0,2003,,,0
Exxon Mobil Corp Irving,14.0,2003,,,0
Meijer Inc Grand Rapids,14.0,2003,,,0
National Gypsum Charlotte,14.0,2003,,,0
Carlson Companies Inc Minneapolis,43.0,2003,,,0
Domino’ Inc Ann Arbor,14.0,2003,,,0
Edwards Inc Louis,43.0,2003,,,0
Abercrombie Fitch New Albany,71.0,2003,,,0
ABN AMRO Chicago,86.0,2003,,,0
Accenture Chicago,86.0,2003,,,0
Adobe Systems Inc San Jose,71.0,2003,,,0
Advanced Digital Information Corp Redmond,29.0,2003,007525108,"Advanced Digital Information Corp., Redmond, WA",88
Advanced Micro Devices Sunnyvale,71.0,2003,,,0
Agouron Pharmaceuticals Jolla,57.0,2003,,,0
American President Lines Oakland,43.0,2003,00202M107,"American President Lines Ltd., Oakland, CA",86
Arhaus Columbus,57.0,2003,,,0
