Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Aventis Pharmaceuticals Inc Bridgewater,71.0,2003,,,0
Baldor Electric Fort Smith,29.0,2003,,,0
Baltimore Gas Electric Baltimore,43.0,2003,,,0
Bausch Lomb Inc Rochester,100.0,2003,,,0
Bayer Corp Pittsburgh,29.0,2003,,,0
Bear Creek Corp Medford,64.0,2003,,,0
Ben and Jerry’ Homemade Inc South Burlington,71.0,2003,,,0
Biovail Pharmaceuticals Inc Morrisville,57.0,2003,,,0
Blockbuster Inc Dallas,71.0,2003,,,0
formerly Amoco Chicago,86.0,2003,,,0
Bridgestone Americas Holding Inc Firestone Nashville,57.0,2003,318315108,"Bridgestone Americas Holding Inc. (Firestone), Nashville, TN",88
Cambridge Technology Group Cambridge,43.0,2003,,,0
Celestial Seasonings Boulder,43.0,2003,,,0
Cerner Corp Kansas City,29.0,2003,,,0
ChoicePoint Inc Alpharetta,100.0,2003,,,0
Cingular Wireless Atlanta,86.0,2003,,,0
Comark Inc Bloomingdale,29.0,2003,,,0
Compass Group North America Charlotte,57.0,2003,,,0
Cracker Barrel Restaurants CBRL Group Inc Lebanon,29.0,2003,22410J106,"Cracker Barrel Restaurants (CBRL Group Inc.), Lebanon, TN",90
The Dun Bradstreet Corp Murray Hill,57.0,2003,,,0
Daimler Chrysler Corp Auburn Hills,86.0,2003,,,0
Deloitte Touche New York,86.0,2003,,,0
Deluxe Corp Shoreview,71.0,2003,,,0
Deutsche Bank New York,100.0,2003,,,0
Digitaria Interactive Inc San Diego,57.0,2003,,,0
Donna Karan New York,57.0,2003,,,0
Dow Jones Inc New York,43.0,2003,,,0
ETRADE Group Inc Menlo Park,86.0,2003,,,0
EarthLink Inc Atlanta,86.0,2003,,,0
Franklin Templeton Investments San Mateo,29.0,2003,35472T100,"Franklin Templeton Investments, San Mateo, CA",86
Gallup Organization The Princeton,57.0,2003,,,0
Genentech San Francisco,86.0,2003,,,0
GlaxoSmithKline Inc Research Triangle Park,86.0,2003,,,0
Hannaford Brothers Scarborough,29.0,2003,,,0
Harris Trust Savings Bank Chicago,86.0,2003,,,0
Harvard Pilgrim Health Care Inc Wellesley,86.0,2003,,,0
Hasbro Inc Pawtucket,29.0,2003,,,0
Heller Ehrman White McAuliffe San Francisco,86.0,2003,,,0
Hewitt Associates Lincolnshire,86.0,2003,,,0
Hoffmann Roche Inc Nutley,86.0,2003,,,0
Howard Howard Attorneys Bloomfield Hills,50.0,2003,,,0
Imation Corp Oakdale,79.0,2003,,,0
Instinet Group Inc New York,57.0,2003,,,0
Jenner Block Chicago,86.0,2003,,,0
Kaiser Permanente Foundation Health Plan Inc Oakland,86.0,2003,,,0
Keane Inc Boston,71.0,2003,,,0
Knight Ridder San Jose,71.0,2003,,,0
KPMG LLP Montvale,86.0,2003,,,0
Kraft Foods Inc Northfield,86.0,2003,,,0
Bean Inc Freeport,57.0,2003,,,0
Latrobe Brewing Latrobe,43.0,2003,,,0
Lauren International New Philadelphia,29.0,2003,,,0
Lillian Vernon Corp New Rochelle,71.0,2003,,,0
Marimba Inc Mountain View,57.0,2003,,,0
Men’ Wearhouse Inc The Houston,71.0,2003,,,0
Miller Brewing Milwaukee,86.0,2003,,,0
Mitchell Gold Taylorsville,100.0,2003,,,0
Morningstar Inc Chicago,29.0,2003,,,0
Morrison Foerster San Francisco,100.0,2003,,,0
Ayer Partners New York,43.0,2003,,,0
Nestle Purina PetCare Louis,29.0,2003,,,0
Nims Associates Inc Decatur,71.0,2003,,,0
Northern Telecom Inc Nashville,43.0,2003,,,0
Northern Trust Corp Chicago,86.0,2003,,,0
Ortho Neutrogena Los Angeles,43.0,2003,,,0
PacifiCorp Portland,86.0,2003,,,0
Pennzoil Quaker State Houston,43.0,2003,,,0
Perkins Will Chicago,71.0,2003,,,0
Perot Systems Corp Dallas,14.0,2003,,,0
Prime Access Inc New York,86.0,2003,,,0
Quaker Oats Chicago,57.0,2003,,,0
Quantum Corp Milpitas,71.0,2003,,,0
Quark Inc Denver,86.0,2003,,,0
Replacements Ltd Greensboro,100.0,2003,,,0
Reuters America Holdings Inc New York,57.0,2003,,,0
Rockwell Collins Pomona,43.0,2003,,,0
SAP America Newton Square,57.0,2003,,,0
Scholastic Corp New York,86.0,2003,,,0
Scudder Kemper Investments New York,43.0,2003,,,0
SGI Silicon Graphics Inc Mountain View,86.0,2003,,,0
Shaw Industries Inc Dalton,14.0,2003,,,0
Shell Oil Houston,86.0,2003,,,0
Siemens Energy Automation Inc Alpharetta,71.0,2003,,,0
SRA International Inc Fairfax,29.0,2003,,,0
Subaru America Inc Cherry Hill,86.0,2003,,,0
TAP Pharmaceutical Products Inc Lake Forest,57.0,2003,,,0
Times Mirror Los Angeles,57.0,2003,,,0
Toyota Motor Manufacturing North America Inc Erlanger,71.0,2003,892331307,"Toyota Motor Manufacturing North America Inc., New York, NY",90
Travelers Property Casualty Corp Hartford,71.0,2003,,,0
UBS Paine Webber New York,86.0,2003,,,0
University Hospitals Cleveland Cleveland,71.0,2003,,,0
Verio Inc Englewood,71.0,2003,,,0
Visa International Foster City,71.0,2003,,,0
Vision Service Plan Rancho Cordova,86.0,2003,,,0
Vivendi Universal New York,71.0,2003,,,0
Volkswagen America Inc Auburn Hills,71.0,2003,,,0
Wainwright Bank Boston,86.0,2003,,,0
Whole Foods Market Inc Austin,57.0,2003,,,0
Working Assets Funding Service San Francisco,71.0,2003,,,0
Worldspan Atlanta,100.0,2003,,,0
WPP Group USA New York,57.0,2003,,,0
3M Minnesota Mining and Manufacturing Paul,71.0,2003,88579Y101,"3M (Minnesota Mining and Manufacturing), St. Paul, MN",90
DuPont Pont Nemours Wilmington,57.0,2003,,,0
