Company,CEI_Score,Year
Interpublic Group of Companies Inc.,60.0,2008
Vertis Inc.,30.0,2008
Boeing Co.,100.0,2008
"International
Inc.
Honeywell",100.0,2008
Northrop Grumman Corp.,100.0,2008
Raytheon Co.,100.0,2008
Lockheed Martin Corp.,85.0,2008
Rockwell Collins Inc.,73.0,2008
General Dynamics Corp.,40.0,2008
AMR Corp. (American Airlines),100.0,2008
US Airways Group Inc.,100.0,2008
Southwest Airlines Co.,90.0,2008
UAL Corp. (United Airlines),88.0,2008
Delta Air Lines Inc.,85.0,2008
Northwest Airlines Corp.,85.0,2008
Continental Airlines Inc.,80.0,2008
JetBlue Airways Corp.,80.0,2008
Abercrombie & Fitch Co.,100.0,2008
Gap Inc.,100.0,2008
"J.C. Penney Co.
Inc.",100.0,2008
Levi Strauss & Co.,100.0,2008
Liz Claiborne Inc.,100.0,2008
Macy's Inc.,100.0,2008
Nike Inc.,100.0,2008
Nordstrom Inc.,100.0,2008
L.L. Bean Inc.,73.0,2008
Lillian Vernon Corp.,55.0,2008
Ford Motor Co.,100.0,2008
General Motors Corp.,100.0,2008
Subaru of America Inc.,100.0,2008
Toyota Motor Sales USA Inc.,100.0,2008
Volkswagen of America Inc.,100.0,2008
Dana Corp.,20.0,2008
Lear Corp.,20.0,2008
American Express Co.,100.0,2008
"Ameriprise Financial
Inc.",100.0,2008
Bank of America Corp.,100.0,2008
"Bear Stearns Companies Inc., The",100.0,2008
Capital One Financial Corp.,100.0,2008
"Charles Schwab Corp., The",100.0,2008
Citigroup Inc.,100.0,2008
Countrywide Financial Corp.,100.0,2008
"Goldman Sachs Group Inc., The",100.0,2008
HSBC North America Holdings Inc.,100.0,2008
IndyMac Bancorp Inc.,100.0,2008
J.P. Morgan Chase & Co.,100.0,2008
MasterCard Inc.,100.0,2008
Mellon Financial Corp.,100.0,2008
Merrill Lynch & Co.,100.0,2008
Northern Trust Corp.,100.0,2008
State Street Corp.,100.0,2008
SunTrust Banks Inc.,100.0,2008
U.S. Bancorp,100.0,2008
Wachovia Corp.,100.0,2008
"Washington Mutual
Inc.",100.0,2008
Wells Fargo & Co.,100.0,2008
Visteon Corp.,95.0,2008
Bridgestone Americas Holding Inc.,80.0,2008
Nissan North America Inc.,50.0,2008
Delphi Corp.,45.0,2008
Navistar International Corp.,30.0,2008
Harris Bankcorp Inc.,95.0,2008
LaSalle Bank Corp.,95.0,2008
E*TRADE Financial Corp.,93.0,2008
A.G. Edwards Inc.,85.0,2008
Bank of New York Co.,85.0,2008
Comerica Inc.,80.0,2008
PNC Financial Services Group Inc.,80.0,2008
General Electric Co.,75.0,2008
Chamberlin Edmonds & Associates Inc.,68.0,2008
Morningstar Inc.,65.0,2008
SLM Corp. (Sallie Mae),60.0,2008
National City Corp.,58.0,2008
BB&T Corp.,25.0,2008
Dow Chemical Co.,100.0,2008
DuPont (E.I. du Pont de Nemours),100.0,2008
Genentech Inc.,100.0,2008
BASF Corp.,95.0,2008
Rohm and Haas Co.,60.0,2008
Praxair Inc.,25.0,2008
"ChoicePoint
Inc.",100.0,2008
International Business Machines Corp. (IBM),100.0,2008
Automatic Data Processing Inc.,95.0,2008
Imation Corp.,93.0,2008
Electronic Data Systems Corp.,90.0,2008
"SRA International
Inc.",75.0,2008
Unisys Corp.,70.0,2008
American Power Conversion Corp.,58.0,2008
Keane Inc.,50.0,2008
"Dun & Bradstreet Corp., The",35.0,2008
Perot Systems Corp.,0.0,2008
Apple Inc.,100.0,2008
"Dell
Inc.",100.0,2008
"Lexmark International
Inc.",100.0,2008
NCR Corp.,100.0,2008
Sun Microsystems Inc.,100.0,2008
Tech Data Corp.,100.0,2008
Xerox Corp.,100.0,2008
Seagate Technology Inc.,75.0,2008
Gateway Inc.,65.0,2008
Silicon Graphics Inc.,50.0,2008
EMC Corp.,45.0,2008
"Inc.
Avnet",30.0,2008
Adobe Systems Inc.,100.0,2008
Google Inc.,100.0,2008
"Inc.
Intuit",100.0,2008
Microsoft Corp.,100.0,2008
Oracle Corp.,100.0,2008
SAP America Inc.,90.0,2008
Symantec Corp.,85.0,2008
BMC Software Inc.,70.0,2008
Cerner Corp.,65.0,2008
McAfee Inc.,53.0,2008
Accenture Ltd.,100.0,2008
"Bain & Co.
Inc.",100.0,2008
Deloitte & Touche USA LLP,100.0,2008
Ernst & Young LLP,100.0,2008
"McKinsey & Co.
Inc.",100.0,2008
Harris Interactive Inc.,93.0,2008
"Nielsen Co., The",85.0,2008
Booz Allen Hamilton Inc.,80.0,2008
Marsh & McLennan Companies Inc.,78.0,2008
Bright Horizons Family Solutions Inc.,100.0,2008
PG&E Corp.,100.0,2008
Dominion Resources Inc.,95.0,2008
Exelon Corp.,95.0,2008
Southern California Edison Co.,95.0,2008
Entergy Corp.,88.0,2008
Alliant Energy Corp.,80.0,2008
Consolidated Edison Co.,80.0,2008
DTE Energy Co.,75.0,2008
Constellation Energy Group Inc.,73.0,2008
Progress Energy Inc.,68.0,2008
Severn Trent Services Inc.,65.0,2008
Duke Energy Corp.,60.0,2008
Perkins & Will,55.0,2008
Clear Channel Communications Inc.,100.0,2008
Electronic Arts Inc.,100.0,2008
Time Warner Inc.,100.0,2008
Viacom Inc.,100.0,2008
Walt Disney Co.,100.0,2008
"Yahoo!
Inc.",100.0,2008
XM Satellite Radio Holdings Inc.,88.0,2008
PPL Corp.,60.0,2008
Wisconsin Energy Corp.,55.0,2008
Reliant Energy Inc.,50.0,2008
Calpine Corp.,48.0,2008
Southern Co.,48.0,2008
Mirant Corp.,45.0,2008
PNM Resources Inc.,43.0,2008
Laclede Group Inc.,5.0,2008
CH2M HILL Companies Ltd.,80.0,2008
Air Products & Chemicals Inc.,75.0,2008
Comcast Corp.,80.0,2008
Corbis Corp.,80.0,2008
Reuters America Holdings Inc.,80.0,2008
Sirius Satellite Radio Inc.,58.0,2008
Anheuser-Busch Companies Inc.,100.0,2008
"Brinker International
Inc.",100.0,2008
"Cargill
Inc.",100.0,2008
"Coca-Cola Co., The",100.0,2008
Coors Brewing Co.,100.0,2008
General Mills Inc.,100.0,2008
Kraft Foods Inc.,100.0,2008
PepsiCo Inc.,100.0,2008
Sodexho Inc.,100.0,2008
Supervalu Inc.,100.0,2008
Campbell Soup Co.,95.0,2008
Miller Brewing Co.,90.0,2008
"Inc.
Whole Foods Market",90.0,2008
McDonald's Corp.,85.0,2008
"Inc.
Applebee's International",80.0,2008
Aramark Corp.,80.0,2008
"Pepsi Bottling Group Inc., The",80.0,2008
PepsiAmericas Inc.,80.0,2008
"Kroger Co., The",75.0,2008
Safeway Inc.,75.0,2008
Dean Foods Co.,73.0,2008
Coca-Cola Enterprises,70.0,2008
"Hershey Co., The",70.0,2008
Sara Lee Corp.,70.0,2008
